,original,word_segmentation,Correct,v2_twitter
143,registroica,registro ica,1,registro ica
144,mamadosdepetro,mama dos de petro,0,mama dos de petro
145,motovallepuentearanda,moto valle puente aranda,1,moto valle puente aranda
146,capitalnoticias,capital noticias,1,capital noticias
147,actualidad,actualidad,1,actualidad
148,envivo,en vivo,1,en vivo
149,sectormovilidad1,sector movilidad 1,1,sectormovilidad 1
150,seguridadvial,seguridad vial,1,seguridad vial
151,mercedesbenzworld,mercedes benz world,1,mercedes benz world
152,accidentevial,accidente vial,1,accidente vial
153,noticiaendesarrollo,noticia en desarrollo,1,noticia en desarrollo
154,queviolencia,que violencia,1,que violencia
155,corferiasbogota,corferias bogota,1,corferias bogota
156,youtube,youtube,1,youtube
157,bogotiana,bogo tiana,0,bogo tiana
158,estamostrabajando,estamos trabajando,1,estamos trabajando
159,ultimahora,ultima hora,1,ultimahora
160,andenes,andenes,1,andenes
161,eltiempotele,el tiempo tele,1,el tiempo tele
162,moto,moto,1,moto
163,arcadia,arcadia,1,arcadia
164,viernes,viernes,1,viernes
165,candelaria,candelaria,1,candelaria
166,canalcapital,canal capital,1,canalcapital
167,expedienteuribev,expediente uribe v,1,expediente uribe v
168,transitobogota,transito bogota,1,transito bogota
169,purapasion,pura pasion,1,pura pasion
170,gabodelascasas,gabo de las casas,1,gabo de las casas
171,bellavista,bellavista,1,bellavista
172,colombiahardcore,colombia hardcore,1,colombia hardcore
173,motero,motero,1,motero
174,worldpressphoto,world press photo,1,world press photo
175,enestemomento,en este momento,1,en este momento
176,fallontonight,fallon tonight,1,fallon tonight
177,lamega,la mega,1,la mega
178,obteniendoconciencia,obteniendo conciencia,1,obteniendo conciencia
179,umvbogota,um v bogota,0,umv bogota
180,bogotaabierta,bogota abierta,1,bogota abierta
181,6amcaracol,6am caracol,1,6am caracol
182,citynoticias,city noticias,1,citynoticias
183,primersolodefagot,primer solo de fagot,1,primer solo de fagot
184,atentos,atentos,1,atentos
185,locsancristobal,lo c san cristobal,1,lo c sancristobal
186,somosla92,somos la 92,1,somos la 92
187,sabadosanto,sabado santo,1,sabado santo
188,alcaldiakennedy,alcaldia kennedy,1,alcaldia kennedy
189,curulesdelasvictimashttps,curules de las victimas https,1,curules de las victimas https
190,lamilitar,la militar,1,la militar
191,travelawesome,travel awesome,1,travel awesome
192,mabellaranews,mabel lara news,1,mabel lara news
193,caracoltv,caracol tv,1,caracol tv
194,leydelembudo,ley del embudo,1,ley del embudo
195,reddeapoyosic,red de apoyo sic,1,red de apoyo si c
196,vivianarock,viviana rock,1,viviana rock
197,bogotatransito,bogota transito,1,bogotatransito
198,malditapelired,maldita peli red,1,maldita peli red
199,alkosto,al kost o,1,alkosto
200,amariloconstruyendopais,amari lo construyendo pais,0,amarilo construyendo pais
201,pentecostesversion,pentecostes version,1,pentecostes version
202,parroquialasagradaeucaristia,parroquia la sagrada eucaristia,1,parroquia la sagrada eucaristia
203,accidente,accidente,1,accidente
204,hospitalsuba,hospital suba,1,hospital suba
205,fiscaliacol,fiscalia col,1,fiscalia col
206,desdeelbalc,desde el balc,1,desde el balc
207,idubogota,idu bogota,1,idubogota
208,cesarsinarte,cesar sin arte,1,cesar sin arte
209,lafucssabedesalud,la fu cs sabe de salud,0,la fu cs sabe de salud
210,trasmilenio,tras milenio,0,trasmilenio
211,colmo,colmo,1,colmo
212,chapinero,chapinero,1,chapinero
213,emergenciasbgt,emergencias bgt,1,emergencias bgt
214,aestahora,a esta hora,1,a esta hora
215,excesodevelocidad,exceso de velocidad,1,exceso de velocidad
216,fueradelestudio,fuera del estudio,1,fuera del estudio
217,reportandoando,reportando ando,1,reportando ando
218,concepciontang,concepcion tang,1,concepcion tang
219,cruzrojabogota,cruz roja bogota,1,cruz roja bogota
220,alertabogota,alerta bogota,1,alerta bogota
221,protegeryservir,proteger y servir,1,proteger y servir
222,quenotedejeelavi,que no te deje el a vi,1,que no te deje el a vi
223,ambientebogotacon,ambiente bogota con,1,ambiente bogota con
224,calle80,calle 80,1,calle 80
225,transito,transito,1,transito
226,movilidadbogota,movilidad bogota,1,movilidad bogota
227,domingofitness,domingo fitness,1,domingo fitness
228,policia,policia,1,policia
229,deporteysalud,deporte y salud,1,deporte y salud
230,felizviernes,feliz viernes,1,feliz viernes
231,sectorsalud,sector salud,1,sector salud
232,avenida68,avenida 68,1,avenida 68
233,trafico,trafico,1,trafico
234,tutransitobta,tu transito bt a,0,tu transitobta
235,calera,calera,1,calera
236,rutassitp,rutas sitp,1,rutas sitp
237,publimetrocol,publimetro col,1,publimetro col
238,endesarrllo,en de sarr l lo,0,en desarr l lo
239,pendiente,pendiente,1,pendiente
240,patincarrerachile,patin carrera chile,1,patin carrera chile
241,vamosmisantafe,vamos mi santa fe,1,vamos mi santafe
242,proteccionalideres,proteccion a lideres,1,proteccion a lideres
243,elcaracterdecristo,el caracter de cristo,1,el caracter de cristo
244,transitobta,transito bt a,0,transitobta
245,bajemoslealavelocidad,bajemos le a la velocidad,0,bajemosle a la velocidad
246,artistasnacionales,artistas nacionales,1,artistas nacionales
247,muerto,muerto,1,muerto
248,todosecuraconamor,todo se cura con amor,1,todo se cura con amor
249,elnoct,el noct,1,el noct
250,wradiocolombia,w radio colombia,1,wradio colombia
251,hotelestequenda,hotel este que nda,0,hotel este que nda
252,ahumamosloquehacemos,a hum amos lo que hacemos,0,ahuma mos lo que hacemos
253,localidad16,localidad 16,1,localidad 16
254,calle13,calle 13,1,calle 13
255,visioncerobog,vision cero bog,1,vi si oncerobog
256,picoyplacaambiental,pico y placa ambiental,1,pico y placa ambiental
257,colegiosanbartolomelamercedoficial,colegio san bartolome la merced oficial,1,colegio san bartolome la merced oficial
258,cablenoticias,cable noticias,1,cablenoticias
259,chavismoenergiayvictoria,chavismo energia y victoria,1,chavismo energia y victoria
260,sitp,sitp,1,sitp
261,pieljovenytonificada,piel joven y tonificada,1,piel joven y tonificada
262,lineasdevida,lineas de vida,1,lineas de vida
263,lafm,la fm,1,la fm
264,cuartafecha,cuarta fecha,1,cuarta fecha
265,teodiosoldebogot,te odio sol debo got,0,te odio sol de bogot
266,amorfelino,amor felino,1,amor felino
267,terapiasmasalla,terapias mas al la,0,terapias mas al la
268,restrepo,restrepo,1,restrepo
269,policiacolombia,policia colombia,1,policia colombia
270,vialidad,vialidad,1,vialidad
271,movilidadestereo,movilidad estereo,1,movilidad estereo
272,acueducto,acueducto,1,acueducto
273,sincandadoradio,sin candado radio,1,sincandadoradio
274,semanasanta,semana santa,1,semana santa
275,caracolesm,caracoles m,1,caracoles m
276,usme,usme,1,usme
277,maderas,maderas,1,maderas
278,todamiboda,toda mi boda,1,toda mi boda
279,wazetrafficbog,waze traffic bog,1,waze traffic bog
280,usaquenet,usa que net,0,usaquen et
281,frackingcolombia,fracking colombia,1,fracking colombia
282,alexenlacalle,alex en la calle,1,alex en la calle
283,reportets,reporte ts,1,reporte ts
284,domiciliosbogot,domicilios bo got,0,domicilios bogot
285,diarioextrabogo,diario extra bogo,1,diario extra bogo
286,movistarco,movistar co,1,movistar co
287,alaire,al aire,1,al aire
288,objetadoduque,objetado duque,1,objetado duque
289,deportescon,deportes con,1,deportes con
290,numeral767,numeral 767,1,numeral 767
291,movilidadinteligente,movilidad inteligente,1,movilidad inteligente
292,cali,cali,1,cali
293,aguantelaempanada,aguante la empanada,1,aguante la empanada
294,nqs,nqs,1,nqs
