original,word_segmentation,Correct
desdeelbalc,desde el balc,1
idubogota,idu bogota,1
cesarsinarte,cesar sin arte,1
lafucssabedesalud,la fu cs sabe de salud,0
trasmilenio,tras milenio,0
colmo,colmo,1
chapinero,chapinero,1
emergenciasbgt,emergencias bgt,1
aestahora,a esta hora,1
excesodevelocidad,exceso de velocidad,1
fueradelestudio,fuera del estudio,1
reportandoando,reportando ando,1
concepciontang,concepcion tang,1
cruzrojabogota,cruz roja bogota,1
alertabogota,alerta bogota,1
protegeryservir,proteger y servir,1
quenotedejeelavi,que no te deje el a vi,1
ambientebogotacon,ambiente bogota con,1
calle80,calle 80,1
transito,transito,1
movilidadbogota,movilidad bogota,1
domingofitness,domingo fitness,1
policia,policia,1
deporteysalud,deporte y salud,1
felizviernes,feliz viernes,1
sectorsalud,sector salud,1
avenida68,avenida 68,1
trafico,trafico,1
tutransitobta,tu transito bt a,0
calera,calera,1
rutassitp,rutas sitp,1
publimetrocol,publimetro col,1
endesarrllo,en de sarr l lo,0
pendiente,pendiente,1
patincarrerachile,patin carrera chile,1
vamosmisantafe,vamos mi santa fe,1
proteccionalideres,proteccion a lideres,1
elcaracterdecristo,el caracter de cristo,1
transitobta,transito bt a,0
bajemoslealavelocidad,bajemos le a la velocidad,0
artistasnacionales,artistas nacionales,1
muerto,muerto,1
todosecuraconamor,todo se cura con amor,1
elnoct,el noct,1
wradiocolombia,w radio colombia,1
hotelestequenda,hotel este que nda,0
ahumamosloquehacemos,a hum amos lo que hacemos,0
localidad16,localidad 16,1
calle13,calle 13,1
visioncerobog,vision cero bog,1
picoyplacaambiental,pico y placa ambiental,1
colegiosanbartolomelamercedoficial,colegio san bartolome la merced oficial,1
cablenoticias,cable noticias,1
chavismoenergiayvictoria,chavismo energia y victoria,1
sitp,sitp,1
pieljovenytonificada,piel joven y tonificada,1
lineasdevida,lineas de vida,1
lafm,la fm,1
cuartafecha,cuarta fecha,1
teodiosoldebogot,te odio sol debo got,0
amorfelino,amor felino,1
terapiasmasalla,terapias mas al la,0
restrepo,restrepo,1
policiacolombia,policia colombia,1
vialidad,vialidad,1
movilidadestereo,movilidad estereo,1
acueducto,acueducto,1
sincandadoradio,sin candado radio,1
semanasanta,semana santa,1
caracolesm,caracoles m,1
usme,usme,1
maderas,maderas,1
todamiboda,toda mi boda,1
wazetrafficbog,waze traffic bog,1
usaquenet,usa que net,0
frackingcolombia,fracking colombia,1
alexenlacalle,alex en la calle,1
reportets,reporte ts,1
domiciliosbogot,domicilios bo got,0
diarioextrabogo,diario extra bogo,1
movistarco,movistar co,1
alaire,al aire,1
objetadoduque,objetado duque,1
deportescon,deportes con,1
numeral767,numeral 767,1
movilidadinteligente,movilidad inteligente,1
cali,cali,1
aguantelaempanada,aguante la empanada,1
nqs,nqs,1
