	id_tweet	text	no	none	si
20	1067422793560539136	Cierran hueco de $14 billones en ley de financiamiento.https://t.co/rZ67iwm7fR https://t.co/RDXinzbYiD	3	0	0
21	1063273719781568512	@NanesVivas Son niños que no conocieron el choque y lo imitan mal.	3	0	0
22	1055264865814831105	Voy parado en un SITP.El tipo de la silla de enfrente anda tweando sobre el man que tiene al lado.El tipo cree que el man del lado no se ha dado cuenta porque el otro de vez en cuando para disimular se queda mirando la ventana.	3	0	0
23	1063209217023197186	¡ASÍ NO ES! 😡 En video quedó registrado el momento en que vandalizan la estación de Transmilenio (@TransMilenio) Marly https://t.co/QVTxUb7X96 https://t.co/FnQTjjAfU5	3	0	0
24	1075388108806520834	@petrogustavo Tome fotos y denuncie pues es un atropello, teniendo pruebas para demostrar los abusos de un gobierno dictatorial.	3	0	0
25	1065762107264778240	Protección de líderes sociales es prioridad del Gobierno por eso pondremos en marcha Plan de Acción Oportuna, con visitas a los territorios: @MinInterior https://t.co/wNs3bmzPD8	3	0	0
26	1062696679332331521	@lidiavar @isabel_rosero @dw_espanol @MiguelUribeT @luciabastidasu @EnriquePenalosa @Bocarejo_JP @SectorSalud @TransMilenio Ya que estás tan preocupada por tú salud, me imagino que has leído con detenimiento cuáles son los actores contaminantes en Bogotá y cuál es el porcentaje de la contaminación de buses TM y otros vehículos sobre el total.	3	0	0
27	1070102212901330950	Este #conductor de @TransMilenio va de un #afán ... Me gusta (tengo afán), pero me asusta!!!!	3	0	0
28	1063195926796427264	@TransMilenio Que convenientes !!!	3	0	0
29	1047955267130982400	Líderes y lideresas del Chocó fueron formados en el manejo de los dispositivos móviles para poner en marcha las buenas prácticas de #privacidad en el entorno digital. Ingresa a la #EscuelaDeSeguridadDigital https://t.co/pAiAvyh46U https://t.co/bcYPULpnHq	3	0	0
30	1063843898521526272	#ElFuturoYaComenzo con marchas y protestas de @ACREESCOL, @UneesCol; señor presidente @IvanDuque y señores de @Mineducacion ¿cuándo harán los talleres @ConstruyoPais sobre el tema de las universidades con los universitarios y profesores?	3	0	0
31	1052356597664632832	Mañana en la marcha convocada por estudiantes y profesores, participaremos también los padres de familia que queremos para nuestros hijos y nietos una refinanciada educación publica. #YoTambiénSoyJennifer	3	0	0
32	1063107437404786691	Cámbiame el clima	3	0	0
33	1066513903390199808	¿Desde cuándo la marcha por la educación superior se convirtió en la marcha de apoyo a Petro? https://t.co/cVcFjBYFLa	3	0	0
34	1066548912079728640	@guillon2511 @saludhernandezm No causó perdidas,  hay un estudio de la procuraduría sobre esto,  al disminuir el valor aumentó la demanda. https://t.co/eBsENd9P3v	3	0	0
35	1059923466219147266	@nicolasAmon @riosalitre Los camiones estorbo de Bogotá. Las flotas, los sitp provisiónales. Etc. Etc	3	0	0
39	1066352329761439745	@petrogustavo Acaso ese día no era la marcha por lo estudiantes (“no politizada”)? Después la marcha por la ley de financiamiento? Ahora la marcha es por derechos políticos..	3	0	0
40	1051112774674173952	Express del Futuro: inhabilitado en licitación de Transmilenio | https://t.co/mj3wesJ8Sr⭕️ bueno ya lo detectaron antes de y no después y deberían sacarlos a los dos, pes son conscientes  https://t.co/9YKKkfvIn2	3	0	0
42	1067833728762814465	@NoticiasCaracol Solo bandidos en las marchas y después dicen q son infiltrados	3	0	0
43	1053417572903936000	Accidente en Av. Caracas &gt; Sur #traficobogota. Tráfico moviéndose 22m más lento de lo normal. https://t.co/RgtKzPTUol https://t.co/WMtV6TiDHi	3	0	0
44	1062871351835418624	Presidente @IvanDuque y el alcalde @EnriquePenalosa firmaron el acuerdo para financiar las troncales de TransMilenio por la avenida 68 y por la avenida Ciudad de Cali → https://t.co/lrPMAfjWpl	3	0	0
45	1050212988890882048	@andresportillo_ @IvanDuque @JuanManSantos Sea coherente que la marcha es un símbolo de reclamación con la deuda histórica en tratar de equiparar al presente en inversión y calidad, no contra @IvanDuque, la cual no se mejora solo con inversión, calidad, etc.Sino también con una mejor conducta como ciudadanos...	3	0	0
46	1075599169564409856	Conductor de Sitp roció con un extintor a un taxista en medio de discusión https://t.co/caXSW8j89K https://t.co/RbV4soWCfe	3	0	0
47	1075058372565762048	@Bogota @TransMilenio Cumplidos los 18 con el próximo alcalde @navarrowolff el sistema DEBE pasar a convertirse en un servicio público y dejar de ser un negocio privado disfrazado de servicio público.	3	0	0
48	1075013570537160704	Increible que tengamos que hacer fila x más de 20 min para poder ingresar al portal 80. Que mal servicio y ahora se repite una vez por semana esta situación @TransMilenio @SectorMovilidad @Bogota https://t.co/Eoz4W37yfn	3	0	0
49	1078100185459367936	Caos el tráfico de Bogotá.	3	0	0
51	1047547071929180161	@madelenrod @uribista_yecid @EnriquePenalosa @rafamartinezpue Sí es por obras,  todas las que ha inaugurado Peñalosa son de administraciones pasadas.  Con respecto a la seguridad,  está peor que nunca,  Las cifras no mienten, igual con el trafico,  ea un caos.	3	0	0
52	1067760771990544384	@NoticiasCaracol La marcha son buenas pero pacíficas entre las dos partes	3	0	0
53	1067545159729143808	"""""""Lluvia y mis cabeza """"""""Mimos Send"""""""""""""""	3	0	0
55	1069945768088346627	"""""""¡BASTA DE REPRIMIR!!! """"""""Los manifestantes con chalecos amarillos avanzan por las calles de París y de pronto quedan enfrentados a una hilera de policías. Cuando el choque parece inevitable uno de los uniformados... https://t.co/y3o35tIKpY"""""""	3	0	0
56	1050596341078880256	@Angie_zzu Y que los grafitis lo linoien las señoras del aseo? Que son trabajadoras que muchas son madres solteras sacando a sus hijos adelante, digo se puede hacer una marcha sin manchar la ciudad, al fin al cabo la clase baja o mefia terminara limpiando eso	3	0	0
57	1076285219773337600	#ColombiaEstéreo sube la temperatura #AEstaHora en la localidad de #Bosa con nuestra novena de aguinaldos 🎄🎁🎉 https://t.co/Dv40cbUx3e	3	0	0
58	1071395473540435968	Tres horas de #Trasmicaos anoche. Un accidente debería ser atendido en media hora por @transmisitp	3	0	0
59	1062873666466267138	@KRfashionist Ahora le echan la culpa  a transmilenio.	3	0	0
60	1072963964886286341	@AnimalesBOG @TransMilenio Hasta ustedes que les pagaron por este tweet, que no tiene nada que ver con protección animal saben que esto no es cierto!	3	0	0
62	1059204504044912640	@Rodrigo_Lara_ @recuperabogota @EnriquePenalosa Y los que critican los buses nuevos de @TransMilenio por qué no cuentan que los buses eléctricos en el mundo solo los produce un proveedor, que son muy costosos y que el mantenimiento y adecuación de patios y centrales de carga con ese presupuesto era imposible?	3	0	0
63	1072849973094563840	Nada mejor que un Sistema limpio 🍃 y sin basuras 🚯, por eso di #NoGracias a las ventas informales dentro de buses, estaciones y portales.¡Juntos lograremos un #TransMilenioMejorParaTodos 👏! https://t.co/hamZSe5IIz https://t.co/iQTr7QEOyh https://t.co/ScFK474nc1	3	0	0
64	1058363615537971200	En Bogotá, van 93.000 huecos tapados por la Unidad de Mantenimiento Vial en 2018@Bogota @SectorMovilidad https://t.co/tiqbv6g7vc	3	0	0
65	1078277501204512770	"""""""@HOLLMANMORRIS Permítame ilustrarlo querido Concejal: A diferencia de Medellín que el Cable alimenta al Metro, y por eso se llama """"""""Metrocable"""""""", el de acá termina en el Portal Tunal y es un alimentador del TransMilenio, por eso se llama TransmiCable. Un abrazo"""""""	3	0	0
67	1050174385267634176	"""""""""""""""Nos colamos en Transmilenio porque es muy caro"""""""".""""""""No pagamos impuestos porque se los roban"""""""". """"""""No hago fila porque voy de afán"""""""". """"""""Parqueo en cualquier lado porque para eso son las calles"""""""".""""""""Rayamos las paredes para protestar"""""""".Muy linda nuestra cultura. Muy."""""""	3	0	0
68	1060143045415522304	#RRInteresante:La bioquímica del amor: ¿lo sabes todo?: Cuando nos enamoramos, nuestro cerebro se pone en marcha, y un montón de reacciones químicas se suceden para producir las respuestas características a un flechazo: euforia, sudores, excitación… Pon a prueba tus conocimi… https://t.co/KY8B3rNHaR	3	0	0
69	1058708967931740160	@Jorgebta @TransMilenio Los buses movidos con gas son aproximadamente 10 veces más contaminantes y cancerígenos que los diesel @25Lbs @biketheway @maritzaaceved11 @nicolasAmon @pedrosalazar420 @muriber58 @Lukalofonos  @AurelioArturo15 @alexaboco @NILIRKAN2 @AndrsTrece @GiordanoBrunoFi https://t.co/4tmogZFYlG	3	0	0
70	1050805827651686405	El clima de Bogotá hoy está muy Mordor. 😬	3	0	0
71	1073735657816760320	Las manifestaciones son prohibidas?????? https://t.co/PbiguoojPy	3	0	0
72	1060677395550748674	Hablemos que incluso si no hubiera marcha, con solo llover Bogotá  colapsa.	3	0	0
73	1063254075557494784	#SITP #Transmilenio El bus de TransMilenio eléctrico viajó de Bogotá a Pereira con una carga | Publimetro Colombia https://t.co/dgFb5Wy7bb	3	0	0
74	1046941548221485057	Porque sera que en estos momentos no aparecen los @petrogustavo @FARCEPueblo y demás personajes nefastos pidiendo justicia o realizando sus estúpidas marchas populistas será que este tipo de desgracias no les duele? ah perdón se me olvida la calaña a la que pertenece2 https://t.co/5YRqJMVzw1	3	0	0
76	1060710959436779520	"""""""Los medio masivos en Colombia hoy enfocaron sus noticias en el trafico causado por las protestas y el """"""""vandalismo de los estudiantes"""""""". Así es como se invisibilizan las causas de las protestas y los actos represivos de la Fuerza Pública en distintas ciudades. https://t.co/K4sAWjAEVY"""""""	3	0	0
77	1063202546427326465	Esta ciudad es un caos POR ESTA ALCALDIA MEDIOCRE que tiene Bogotá y no por las marchas, o .e va a decir que TM sin las marchas es un medio 100% perfecto o no hay caos y la mano de huecos que tiene las vías de la ciudad,semáforos fuera de servicio https://t.co/EJu1eLBo6k	3	0	0
79	1061690045139206144	El cráter del Pululahua https://t.co/tgq4AGuPvs	3	0	0
80	1052972140784508930	en una entrevista de trabajo dije que mi aspiración salarial era ganar lo suficiente para pagar un plan de datos que me permitiera ver historias de instagram en transmilenio sin preocuparme de que se me acaben las megas de internet. no me han llamado :(	3	0	0
81	1059205331224539136	@CarlosCarrilloA @EnriquePenalosa @VolvoBusGlobal @ScaniaGroup @TransMilenio RE sí.	3	0	0
82	1052541508090560512	Ojo. Estos 100 días no son días consecutivos. Son días aleatorios del año 2018 en los que no se han registrado víctimas fatales en accidentes de tráfico.Sin embargo, sigue siendo una buena noticia para Bogotá. https://t.co/FAcJHqi2do	3	0	0
83	1066509449270046720	¡Esto explica el clima de hoy! 😭😭 https://t.co/GXwXhDiESK	3	0	0
84	1050473886935146498	Ruta 91 Bosa San Jose ↔ Porciuncula de Bosa a Chapinero (con mapas) - subete al #SITP https://t.co/wiiumEhzSZ	3	0	0
85	1053104799540002821	@Radioacktiva_ es más fácil encontrar silla vacía en Transmilenio que ganarse una boleta para #ElGallo20Años	3	0	0
86	1064791344391077888	Si tu hermana tiene carro etiquétala en esta publicación para que no vuelva a dejar su carro mal parqueado.  Ingresa a nuestra página web y escucha esta y otras de las mejores llamadas  de la Llamatón de #ElPoderDelCono. 👉 https://t.co/sveRCREk31  … https://t.co/iQTr7QEOyh https://t.co/Jh5JPHu1hN	3	0	0
87	1075058191938015233	@WILSONRUIZRUIZ1 @elincomform @manolitosalazar @Rodrigo_Lara_ @davidbarguil @TransMilenio @TransMiseria Los mamertos a cada solución le tienen su problema, son absolutamente incapaces, sólo son buenos para destituir	3	0	0
88	1060719289886539776	No hay derecho a tanta violencia, a tanta irracionalidad, y no son los verdaderos promotores de las marchas, son los vándalos, desadaptados, que se aprovechan de la situación...https://t.co/KM6yxP9zAQ	3	0	0
89	1050000200620789760	#AEstaHora la movilidad avanza con total normalidad y desde el PMU (Puesto de Mando Unificado) se vigilarán las marchas programadas para hoy de los estudiantes universitarios.Salga informado de su casa con #DespiertaBogotá → https://t.co/QKx90stlOj	3	0	0
90	1061257017988390923	Condenó las marchas estudiantiles, las condenó a que sigan haciéndose por el bien de nuestro país, a mi me han afectado pero no importa, los apoyo porque la educación es la única forma de sacar adelante esta vereda llamada Colombia	3	0	0
91	1062741817760931841	En 2019, Bogotá estrenará casi 700 buses que se prohibirán en Alemania https://t.co/UHXswS4NwB vía @Pulzo	3	0	0
92	1054050223276855296	Lluvia de críticas a Maluma en redes sociales por su nuevo look https://t.co/K9QIBg2Xlc #MePasoALaFM https://t.co/qwD3RT57Ok	3	0	0
93	1069587058346393601	“El tráfico en la región es más mortal que el sida, la malaria y la tuberculosis juntas” https://t.co/JShuO7K5SC @elpais_america @cadriazola	3	0	0
94	1052873395413626880	#BuenosDias: El dia de hoy Soleado en Bogota, la temperatura es 8ºC. El Sol sale en 15 minutos! Que tenga un prospero día :)	3	0	0
95	1056504865529253888	Los días lluviosos. #barcelona #rain #rainy #macba #autumn #travelphotography #travel #backpacker #backpacking #lluvia #otoño #spain #españa #weekend https://t.co/tYVynSC65m	3	0	0
96	1063079598274027520	@matadoreltiempo No matador aquí si discrepo. Hoy es una marcha de los estudiantes y la merecen han trabajado y organizado para hacerla. Las del IVA, la gasolina y demás tendrán el mismo grado de importancia cuando se organice para eso. Mientras tanto hoy es la de los Estudiantes.	3	0	0
97	1051733611785973760	El esperpento de @EnriquePenalosa   junto a sus secuaces van a toda marcha con el transmilenio de la av 68, esto significa la condena al atraso en movilidad por decadas... Este alcalde es una puta degracia.	3	0	0
98	1051240158325067776	@hoptrash Sí, el bus se estrello me cambiaron de bus y sigo en este tráfico de mierda, jajajajaja que divertido.	3	0	0
99	1057707186451824640	Mañana jueves, estudiantes universitarios y docentes se reunirán con el @Mineducacion para discutir el pliego de peticiones para tratar de llegar a un acuerdo. Hoy en la tarde habrá una marcha zombie. #CityNoticiasMD https://t.co/opZCRV3vYo	3	0	0
100	1063391201179643906	Les juro que hoy ví a Drew Barrymore en Transmilenio.	3	0	0
101	1060254614916907008	A mí si me parece Chévere que cuenten sus historias referentes a #BenditoTwitter me parece una maravilla que encuentren el amor por este medio, por IG, en transmilenio o donde sea. Recuerden las palabras de un sabio, TODO SE CURA CON AMOR!💙	3	0	0
102	1060562216251019264	@BogotaTransito @SectorMovilidad @TransMilenio Que servicio de transporte masivo tan chimbo es @TransMilenio	3	0	0
103	1057645871079276545	Con la renovación urbana del corredor de la carrera 7ma, los ciudadanos tendrán: 👉 Mejor Calidad de vida. 👉 Mejor Movilidad.👉 Mejor calidad del medio ambiente👉 Espacio público renovado👉 Conexión con las troncales de TransMilenio #LaNuevaSéptima es una realidad. https://t.co/AF3P3sXmPy	3	0	0
105	1048988857520332805	TRISTE PARA TODOS …...LA UNICA BASE QE LES QUEDA ES ABRIR UN HUECO EN CADA UNA DE SUS CASA …….....TARDE PARA DARSE CUENTA,,,,,,,,,S.O.S. ….@NATO https://t.co/Lllx9qFnvO	3	0	0
106	1050373951719952384	Es importante aclararle a Petro que la marcha de ayer fue por la #educación por las #UniversidadesPúblicas no por él ni por la #ColombiaHumana Que respete y deje el oportunismo político!	3	0	0
108	1077957458251968512	Ruta 41 El Cortijo ↔ Alpes de Calle 80 a Sur (con mapas) - subete al #SITP https://t.co/RxvT0Gko8j	3	0	0
109	1074090063275925504	@sofict1 @PartidoFARC ¿ Y que hacen esos IDIOTAS policías de pie apoyando esa burla? deberían exigir también por los @PoliciaBogota  asesinados y heridos en las manifestaciones. que doble moral tan hp	3	0	0
110	1076262015386161152	@IRPCOL @AndrsTrece @TransMilenio @carlosfgalan ¿Le parece que @intiasprilla es Peñalosa? ¿Le parece que @MaFeRojas es Peñalosa? ¿Le parece que @mjsarmientoa que es del Moir es cercano a Peñalosa?. No exageremos; obvio, el Verde está lleno de peñalosistas pero hay que apreciar a los que no lo son.	3	0	0
114	1059253277966155777	@EmelRojasC @petrogustavo @TransMilenio Que pasi con la licitación que dejo la administración pasada?	3	0	0
115	1078338197330034688	@Bogota @EnriquePenalosa Lo importante es que tenga una buena administración, para en un tiempo no tener que  ver a Transmicable, con un servicio y con los problemas iguales o peores que Transmilenio o el Sitp.	3	0	0
118	1068276037392445446	@ernestocortes28 @ernestocortes28 portavoz  de Peñaloza y promotor del transmilenio, que triste por Bogotá  con periodistas tan nefastos para la ciudad.	3	0	0
119	1069690379455393792	Nuestra Facultad de Estudios del Patrimonio Cultural se une a la campaña del @mincultura, que busca sensibilizar a los colombianas sobre las causas y consecuencias del tráfico ilícito del patrimonio cultural. Somos #GuardianesDelPatrimonio https://t.co/pngiONqrkH	3	0	0
120	1048256734161264640	@BogotaseMueve accidente volqueta y taxi en la estación el tiempo, sentido oriente occidente. Trancon hacia el aeropuerto. @Bogota @BogotaTransito @SectorMovilidad https://t.co/dCnmeZfYW8	3	0	0
121	1068219527345958913	Cerrado por lluvia @BOG_ELDORADO. Toca esperar aquí en el avión mientras mejora el clima. https://t.co/MtKPJujJZg	3	0	0
123	1062909607981563904	"""""""@UnCaricaturista Si usted ha leído a @MelukLeCuenta y ahora al sr caricaturista se dará cuenta del afán que existe de publicar una """"""""opinión"""""""" polémica contra corriente para generar tráfico a una cuenta de twitter y obtener protagonismo."""""""	3	0	0
124	1064571333617553408	Gobierno no tiene hueco fiscal, quiere robar a los pobres para darle beneficios a monopolios económicos usureros son millonarios con dineros públicos. @IvanDuque quiere pagar favores robando a los pobres. Combata corrupción. IVA a gaseosas y licores cigarrillos. multinacionales.	3	0	0
125	1053375443901050882	En esta temporada de lluvias, esté atento para identificar cambios anormales e informe a las autoridades municipales y a entidades de socorro. #CmarcaSePoneLasBotas para prevenir emergencias por deslizamientos o inundaciones. https://t.co/XoFfEr7v0n	3	0	0
127	1073163550871433216	@sebrojasfeed @NicoDuRo @CarlosCarrilloA @NoTM7a @elBlogotazo @mcarvajal28 @pineda0ruiz @JulianRoman @GNavasTalero @DiegoTrujilloD Estoy interpretando las cifras OFICIALES.Ahora bien, todos los Duales pasan por la 7ma (salvo los M83). No es difícil para la Alcaldía saber cuántos Duales+SITP pasan pasan por la 7ma, tampoco cuántas rutas de SITP Provisionales (y averiguar con cuántos buses las cubren al día)	3	0	0
130	1050012587755229185	#Mundo #Actualidad Emergencia en #Mallorca: inundaciones por lluvias dejan nueve personas muertas https://t.co/KNoCUWhs6r	3	0	0
131	1059788396619534336	@TransMilenio el peor sistema de transporte en bogota, portal el dorado, hay que esperar mas de 30 minutos para que pase el alimentador que va para la estancia.	3	0	0
132	1053669835153072129	@MexicoPresident Campamento en dignidad para marcha salvadoreños, valoración medico-odontologica, refugio humanitario en estructuras livianas, bolsa de ofertas y demandas, apalancamiento del enorme potencial empresarial de sus propias demandas en vivienda y alimenticias. No USA..	3	0	0
133	1055227443743731712	@anamocampo @TransMilenio Tristemente tercermundistas.	3	0	0
136	1063228518430064640	👉 Conoce el pronóstico del tiempo para esta noche y madrugada en #Bogotá @IDEAMColombia 🌙https://t.co/dAbaDM72zg https://t.co/R7yNa91e4O	3	0	0
137	1064323664240361473	@TransMilenio No comprendo porque usar un # punzante como querer decir algo, las instituciones son de todos y deben transmitir en un lenguaje decente y sin ataques. CM por si no lo sabe es una cuenta pública no personal	3	0	0
138	1076125764175699969	@ginaariana123 @lynx5811606 Lenguas de fuego sobre mi, porque pensar diferente a un uribistas, o a un petrista es pecado. Te recuerdo que hubo alcaldías peores antes , como la de Samuel Moreno, que dejó el gran hueco que tenemos ahora . Le aseguro que no votaré nunca por esa señora, pero tampoco por hollman	3	0	0
139	1060681713104441344	Así será el trancón por la autopista norte sentido norte-sur que el señor conductor apagó el bus @TransMilenio #Bogotá Y la gente se baja a caminar 🙈#HoyNoLlego 😖	3	0	0
140	1066033456281501696	¡Uno intenta ser puntual pero el tráfico de Bogotá no ayuda!	3	0	0
141	1053164197486444544	Ruta 59A Boita ↔ Tercer Milenio de Bosa a Centro (con mapas) - subete al #SITP https://t.co/nX2ByRlWcn	3	0	0
142	1060643134663733255	Lo que pasa es que ya eso no se puede considerar protesta eso ya es vandalismo y se están escudándo con las marchas https://t.co/uhEu2jh3LZ	3	0	0
143	1063101568562663426	#SeMarchaPor #CityCubre Movilizaciones en Bogotá bloquean la carrera Séptima en ambos sentidos, a la altura del Parque Nacional. Se activan desvíos por la calle 39 a la carrera 13. Siga en vivo el minuto a minuto de la jornada► https://t.co/wUJ3k6lWuQ	3	0	0
144	1074195806499102720	Que ganas de verdad de volver al 2011, cuando toda la mierda de mi vida actual comenzó. Haría todo muy diferente, y tal vez así, no estaría en el hueco lleno de mierda y depresión en el que vivo actualmente.	3	0	0
146	1060687584597368832	Ustedes solo se enfocan en lo que les conviene, muestren cual ha sido la realidad de hoy en las marchas, nada justifica la violencia y se rechazan actos de vandalismo, pero la realidad es que los del ESMAD violan derechos humanos y eso no se puede ocultar. https://t.co/QErOA87i23	3	0	0
147	1071216676971139072	@EnriquePenalosa Kike.. Que hacemos? A quien le echamos la culpa del colapso de @TransMilenio hace casi una hora en la NQS?	3	0	0
148	1053430665721638914	Amigos, voy sentada en transmilenio y no me puedo ni mover, o sea, esto de ser alta trae sus desventajas.	3	0	0
149	1052532338717065216	@ErikaFontalvo @CaracolRadio Ciudades caminantes pero no solo es el vehículo. Peatones pasan por debajo puentes peatonales, colados transmilenio pasan autopista, peatones pasan semaforos en rojo. Caminante sin respeto señales tránsito	3	0	0
151	1068126471208738821	Durante la jornada de protesta varias estaciones de Transmilenio y buses fueron vandalizados. #SOLMAÑANERO	3	0	0
152	1046794667336044544	@RevistaSemana @IvanDuque En un me nos dirán que han decomisado miles de dosis pero taparan que el consumo y el tráfico crece a pasos agigantados.	3	0	0
153	1052743465136738304	@CristoAtado Termina en @MillosFCoficial porque siempre nos toca rehabilitar gamines o recibir paquetes en transito de pensión.	3	0	0
155	1060672671086718983	Las manifestaciones deben ser pacíficas!!! La violencia nunca es la solución... Vándalos dañando la imagen de los que quieren protestar pacíficamente https://t.co/giIAHPayfU	3	0	0
156	1049309225447542784	Aparatoso choque de bus de Sitp dejó una persona muerta en Bosa https://t.co/D78M6bX1mb https://t.co/qekHGlKQGS	3	0	0
157	1060861820859224064	@bautistahoyos @6AMCaracol @Citytv @ErikaFontalvo @ErikaFontalvoG @PoliciaBogota @BogotaseMueve Se presentó el volcamiento de un camión a la altura de la calle 242. A la hora el mismo ya fue retirado y unidades de @TransitoBta realizan gestión del tránsito para recuperar la movilidad de este corredor.https://t.co/No6m6RzBtZ	3	0	0
159	1052552544709464066	@hyperconectado No se le olvide las chivas rumberas, las fiestas de despedida de año en las empresas, el amigo secreto, las lluvias de ideas, los reinados de pueblo y las rifas con lechona.	3	0	0
160	1074140625308696576	@fandrade68 @NanyPardo @TransMilenio Ocho estaciones (en un mismo tramo que en la Caracas tiene doce), con pasajeros aglomerados en un tramo, con buses que sólo pueden transitar por una sola troncal y en anchos variables que la harán embudo. Serán las rutas más lentas y demoradas de un sistema lento y demorado.	3	0	0
161	1062845182192861184	@SeMeColo @TransMilenio Tienes cigarrillos? Jajaja	3	0	0
162	1057981440393121792	albaretor Buen día Alvaro. Por favor nos indicas tu ubicación y el servicio que estás esperando para poder gestionar. Gracias, estamos pendientes. https://t.co/iQTr7QEOyh https://t.co/BDGY1xO1tN	3	0	0
163	1061153822473474048	Ese hueco quiere más verga  Video Completo en https://t.co/GVfchUbwJZ https://t.co/S9X04J1Jys	3	0	0
164	1061217467492655104	Y miro al cielo y recuerdo que a pesar de la lluvia o lo gris del cielo, siempre saldrá el arcoiris.Buenos días!! https://t.co/Abtx3N3L7e	3	0	0
165	1065077985378779138	@MAR_O_MA @TransMilenio @planeacionbog Muy complicado. Si logro retrasar el registram, porque la alcaldía no dejó poner semáforos.	3	0	0
166	1061059267837464576	Por esto hay que leer! Miren quién agredió primero! https://t.co/VFHj9noLfG	3	0	0
167	1062365487684820993	@CarlosCarrilloA @TransMilenio Sea serio Carlos. La  satisfacción de los usuarios de buses tradicionales no es porque sean mejores sino porque:1. No tienen que caminar hasta un paradero2. Son más baratos3. Pueden pagar sin tarjeta y pedir descuento si entran por la puerta trasera4. Van desocupados	3	0	0
169	1073409697800208384	Apártate de Carrera 9ª hoy #traficobogota. El tráfico es 24m más lento de lo normal https://t.co/moHLMdsqt5 https://t.co/CQ1Tk4bN4L	3	0	0
170	1078083056769163264	“El barrio consta de 59 residencias de madera, construidas con materiales ecológicos, en un área de 11.000 m²... reutilizan el agua de lluvia, utiliza materiales ecológicos en sus edificios, tejas solares de vidrio, además de moverse por el barrio solo a pie o en bicicleta.” https://t.co/xYPVUkT6oi	3	0	0
171	1062590512799072256	#ClimaActual: Hace mucho frio en Bogotá. Actualmente la Temperatura es 9C°.	3	0	0
172	1057246460805296128	#Atención Por la segunda temporada de lluvias en algunas zonas del país, el @IDEAMColombia recomienda al sector agropecuario y forestal 👇 https://t.co/ADENMPR6GK	3	0	0
173	1053800778115284992	Llevo una hora en la estación de transmilenio :)	3	0	0
174	1067887179278557187	@TransMilenio @Mafe_Barrantes @Bogota @GobiernoBTA @BogotaTransito @SectorMovilidad @idubogota Por la 30 para ir al portal 80 no se tienen inconvenientes?	3	0	0
175	1074715455120646144	"""""""Es muy propio de un país como Colombia que un grupo armado ilegal decida irse de vacaciones y para evitar que la fuerza pública persiga a sus integrantes mientras descansan, le vende al país un """"""""cese de operaciones para aportar al clima de paz y tranquilidad durante fin de año"""""""". https://t.co/W27vYwdhaV"""""""	3	0	0
