	id_tweet	created_at	user_name	text	clean	cluster	subcluster
18	1046973036241543168	2018-10-01 22:59:58	Citytv	Conozca las claves de las noticias nacionales e internacionales en #TuMundoHoy. Aquí los titulares de la emisión de este lunes (01/10/2018). Dirige y conduce @claudiapalacios. Vea nuestra emisión en diferido a las 11:30 p.m. https://t.co/i6jN6mglOT	conocer clave noticiar nacional e internacional   mundo   titular emisión lunes                dirigir y conducir     ver emisión diferir a        página metro   	0	1
52	1047333457217687552	2018-10-02 22:52:09	Citytv	Conozca las claves de las noticias nacionales e internacionales en #TuMundoHoy. Aquí los titulares de la emisión de este martes (02/10/2018). Dirige y conduce @claudiapalacios. Vea nuestra emisión en diferido a las 11:30 p.m. https://t.co/ogwDBNQ3ep	conocer clave noticiar nacional e internacional   mundo   titular emisión martes                dirigir y conducir     ver emisión diferir a        página metro   	0	1
105	1048056148954374144	2018-10-04 22:43:52	Citytv	Conozca las claves de las noticias nacionales e internacionales en #TuMundoHoy. Aquí los titulares de la emisión de este jueves (04/10/2018). Dirige y  conduce: @claudiapalacios. Vea nuestra emisión en diferido a las 11:30 p.m. https://t.co/VI6urF661b	conocer clave noticiar nacional e internacional   mundo   titular emisión jueves                dirigir y   conducir      ver emisión diferir a        página metro   	0	1
132	1048421202551820289	2018-10-05 22:54:28	Citytv	Conozca las claves de las noticias nacionales e internacionales en #TuMundoHoy. Aquí los titulares de la emisión de este viernes (05/10/2018). Dirige y  conduce: @claudiapalacios. Vea nuestra emisión en diferido a las 11:30 p.m. https://t.co/W3fVJLl4eu	conocer clave noticiar nacional e internacional   mundo   titular emisión viernes                dirigir y   conducir      ver emisión diferir a        página metro   	0	1
165	1049507396488450048	2018-10-08 22:50:36	Citytv	Aquí los titulares de la emisión de #TuMundoHoy (08/10/2018).  Dirige y conduce @claudiapalacios, en @Citytv.  Véalo en diferido a las 11:30 p.m. https://t.co/38Gx80mCTn	titular emisión   mundo                 dirigir y conducir          véalo diferir a        página metro   	0	1
217	1050567474205347846	2018-10-11 21:02:59	Citytv	Ya estamos #AlAire en #TuMundoHoy con las claves de la información nacional e internacional. Dirige y conduce @claudiapalacios, en @Citytv. https://t.co/dCav0UHSuX	  aire   mundo clave información nacional e internacional   dirigir y conducir         	0	1
220	1050593726303625216	2018-10-11 22:47:18	Citytv	Conozca #LasClaves de la información nacional e internacional con #TuMundoHOY. Aquí los titulares de la emisión de este jueves 11 de octubre de 2018.  Dirige y conduce @claudiapalacios.  Véalo en diferido: 11:30 p.m., en @Citytv. https://t.co/1zWkMuwR3D	conocer   clave información nacional e internacional   mundohoy   titular emisión jueves     octubre         dirigir y conducir      véalo diferir         página metro        	0	1
231	1050961112429207552	2018-10-12 23:07:09	Citytv	Entérese de las principales noticias nacionales e internacionales en #TuMundoHOY. Aquí los titulares de la emisión de este viernes 12 de octubre de 2018.  Dirige y conduce @claudiapalacios, en @Citytv.  Véalo en diferido a las 11:20 p.m. https://t.co/m7TQHjxpwK	entérese principal noticiar nacional e internacional   mundohoy   titular emisión viernes     octubre         dirigir y conducir          véalo diferir a        página metro   	0	1
248	1052414946892541953	2018-10-16 23:24:10	Citytv	Entérese de las principales noticias nacionales e internacionales en #TuMundoHoy. Aquí los titulares de la emisión de este martes 16 de octubre de 2018. Dirige y conduce @claudiapalacios, en @Citytv.  Véalo en diferido a las 11:30 p.m. https://t.co/WonSxyXeiP	entérese principal noticiar nacional e internacional   mundo   titular emisión martes     octubre        dirigir y conducir          véalo diferir a        página metro   	0	1
280	1052772458573357059	2018-10-17 23:04:48	Citytv	Entérese de las principales noticias nacionales e internacionales en #TuMundoHoy. Aquí los titulares de la emisión de este miércoles 17 de octubre de 2018. Dirige y conduce @claudiapalacios, en @Citytv. Véalo en diferido a las 11:30 p.m. https://t.co/Pg71JL7rZF	entérese principal noticiar nacional e internacional   mundo   titular emisión miércoles     octubre        dirigir y conducir         véalo diferir a        página metro   	0	1
303	1053127619175170049	2018-10-18 22:36:05	Citytv	Entérese de las principales noticias nacionales e internacionales en #TuMundoHoy. Aquí los titulares de la emisión de este jueves 18 de octubre de 2018. Dirige y conduce @claudiapalacios, en @Citytv. Véalo en diferido a las 11:30 p.m. https://t.co/dB7cXIxWkl	entérese principal noticiar nacional e internacional   mundo   titular emisión jueves     octubre        dirigir y conducir         véalo diferir a        página metro   	0	1
328	1053496234344939521	2018-10-19 23:00:49	Citytv	Aquí los titulares de la emisión de #TuMundoHoy para este viernes 19 de octubre de 2018. Dirige y conduce @claudiapalacios. Véalo en diferido a las 11:30 p.m., en @Citytv. https://t.co/JIONG89sYS	titular emisión   mundo viernes     octubre        dirigir y conducir     véalo diferir a        página metro        	0	1
349	1054584559688450048	2018-10-22 23:05:26	Citytv	Les contamos los hechos que son noticia en Colombia y el mundo.  Aquí los titulares de la emisión de #TuMundoHOY para este lunes 22 de octubre de 2018. Dirige y conduce @claudiapalacios, en @Citytv. Véalo en diferido a las 11:20 p.m. https://t.co/r2OY5DlGF7	contar hecho noticiar colombia y mundo    titular emisión   mundohoy lunes     octubre        dirigir y conducir         véalo diferir a        página metro   	0	1
362	1054951533186637824	2018-10-23 23:23:40	Citytv	#AlAire #TuMundoHOY, en @Citytv. (En diferido) Aquí los titulares de la emisión de este martes 23 de octubre de 2018. Dirige y conduce @claudiapalacios. https://t.co/Hnh22Sjj9p	  aire   mundohoy        diferir   titular emisión martes     octubre        dirigir y conducir     	0	1
371	1055278166451859457	2018-10-24 21:01:35	Citytv	Las claves de la información nacional e internacional están en #TuMundoHoy. Bienvenidos a una nueva emisión. Estamos #AlAire en @Citytv. Dirige y conduce @claudiapalacios. https://t.co/PJ2QfovrQO	clave información nacional e internacional   mundo   bienvenido a emisión     aire     dirigir y conducir     	0	1
377	1055309189554286592	2018-10-24 23:04:52	Citytv	#Titulares #TuMundoHoy Entérese de las principales noticias de Colombia y el mundo, en @Citytv. Vea la emisión en diferido a las 11:20 p.m. Dirige y conduce @claudiapalacios. https://t.co/3dfoSX2GSt	  titular   mundo entérese principal noticiar colombia y mundo       ver emisión diferir a        página metro   dirigir y conducir     	0	1
388	1055641046976212992	2018-10-25 21:03:33	Citytv	#AlAire las claves de la información nacional e internacional, con #TuMundoHoy. Bienvenidos a una nueva emisión, en @Citytv. Dirige y conduce @claudiapalacios https://t.co/XwfiHzv5l5	  aire clave información nacional e internacional     mundo   bienvenido a emisión       dirigir y conducir    	0	1
424	1057122893593751552	2018-10-29 23:11:52	Citytv	Conozca las claves de la información nacional e internacional con #TuMundoHoy. Aquí los titulares de la emisión de este lunes 29 de octubre de 2018.  Dirige y conduce @claudiapalacios. Véalo en diferido: 11:30 p.m., en @Citytv. https://t.co/6ngctaqQiD	conocer clave información nacional e internacional   mundo   titular emisión lunes     octubre         dirigir y conducir     véalo diferir         página metro        	0	1
442	1057454577598021633	2018-10-30 21:09:52	Citytv	Las claves de la información nacional e internacional están en #TuMundoHoy. Bienvenidos a una nueva emisión. Estamos #AlAire en @Citytv. Dirige y conduce  @claudiapalacios https://t.co/MQpLf1Cqbr	clave información nacional e internacional   mundo   bienvenido a emisión     aire     dirigir y conducir     	0	1
447	1057483473701744640	2018-10-30 23:04:41	Citytv	Les contamos los hechos que son noticia en Colombia y el mundo.  Aquí los titulares de la emisión de #TuMundoHOY para este martes 30 de octubre de 2018. Dirige y conduce @claudiapalacios, en @Citytv. Véalo en diferido a las 11:20 p.m. https://t.co/nwqCFDsu4n	contar hecho noticiar colombia y mundo    titular emisión   mundohoy martes     octubre        dirigir y conducir         véalo diferir a        página metro   	0	1
515	1058565254416863232	2018-11-02 22:43:18	Citytv	¿Qué pasó en Colombia y #TuMundoHoy? Aquí los titulares de la emisión de este viernes 02 de noviembre de 2018. Dirige y conduce @claudiapalacios. Véalo en diferido a las 11:30 p.m., en @Citytv. https://t.co/F7GTKY7XqC	  pasar colombia y   mundo   titular emisión viernes     noviembre        dirigir y conducir     véalo diferir a        página metro        	0	1
547	1059989155512500224	2018-11-06 21:01:22	Citytv	Las claves de la información nacional e internacional están en #TuMundoHoy. Bienvenidos a una nueva emisión. Estamos #AlAire en @Citytv. Dirige y conduce @claudiapalacios. https://t.co/QJLWL2EuCM	clave información nacional e internacional   mundo   bienvenido a emisión     aire     dirigir y conducir     	0	1
564	1060382067119267841	2018-11-07 23:02:40	Citytv	¿Qué pasó en Colombia y #TuMundoHoy? Aquí los titulares de la emisión de este miércoles 7 de noviembre de 2018.  Véalo en diferido a las 11:20 p.m., por @Citytv. Conduce @claudiapalacios. https://t.co/mioDY5ns5D	  pasar colombia y   mundo   titular emisión miércoles    noviembre         véalo diferir a        página metro        conducir     	0	1
594	1060753243142344705	2018-11-08 23:37:35	Citytv	Conozca #LasClaves de la información nacional e internacional con #TuMundoHOY. Aquí los titulares de la emisión de este jueves 8 de noviembre de 2018.  Dirige y conduce @claudiapalacios.  Véalo en diferido: 11:30 p.m., en @Citytv. https://t.co/PzPeLoVvSp	conocer   clave información nacional e internacional   mundohoy   titular emisión jueves    noviembre         dirigir y conducir      véalo diferir         página metro        	0	1
614	1061077280016031744	2018-11-09 21:05:12	Citytv	Ya estamos #AlAire con #TuMundoHoy, las claves de la información nacional e internacional. Dirige y conduce @claudiapalacios, en @Citytv. https://t.co/bRKyKaWzDR	  aire   mundo   clave información nacional e internacional   dirigir y conducir         	0	1
623	1061103946696142848	2018-11-09 22:51:09	Citytv	Entérese de lo que pasó en Colombia y #TuMundoHoy.  Aquí los titulares de la emisión de este viernes 9 de noviembre de 2018.  Dirige y conduce @claudiapalacios, en @Citytv. Véalo en diferido a las 11:20 p.m. https://t.co/FodLkQ2Swb	entérese pasar colombia y   mundo    titular emisión viernes    noviembre         dirigir y conducir         véalo diferir a        página metro   	0	1
656	1062525572151156736	2018-11-13 21:00:11	Citytv	Ya estamos #AlAire con #TuMundoHoy, las claves de la información nacional e internacional. Dirige y conduce @claudiapalacios, en @Citytv. https://t.co/QvqVcPwRaj	  aire   mundo   clave información nacional e internacional   dirigir y conducir         	0	1
663	1062558099708489729	2018-11-13 23:09:27	Citytv	Entérese de lo que pasó en Colombia y #TuMundoHoy.  Aquí los titulares de la emisión de este martes 13 de noviembre de 2018. Dirige y conduce @claudiapalacios, en @Citytv. Véalo en diferido a las 11:30 p.m. https://t.co/57spd9ptY4	entérese pasar colombia y   mundo    titular emisión martes     noviembre        dirigir y conducir         véalo diferir a        página metro   	0	1
678	1062887972675174405	2018-11-14 21:00:14	Citytv	Ya estamos #AlAire con #TuMundoHoy, las claves de la información nacional e internacional. Dirige y conduce @claudiapalacios, en @Citytv. https://t.co/Pl2QqfQey1	  aire   mundo   clave información nacional e internacional   dirigir y conducir         	0	1
689	1062916201054121984	2018-11-14 22:52:25	Citytv	Entérese de lo que pasó en Colombia y #TuMundoHoy. Aquí los titulares de la emisión de este miércoles 14 de noviembre de 2018. Dirige y conduce @claudiapalacios, en @Citytv. Véalo en diferido a las 11:30 p.m. https://t.co/SHbNSPEK9H	entérese pasar colombia y   mundo   titular emisión miércoles     noviembre        dirigir y conducir         véalo diferir a        página metro   	0	1
700	1063252318664179712	2018-11-15 21:08:01	Citytv	Ya estamos #AlAire con #TuMundoHoy, las claves de la información nacional e internacional. Dirige y conduce @claudiapalacios, en @Citytv. https://t.co/3leTlbgGFg	  aire   mundo   clave información nacional e internacional   dirigir y conducir         	0	1
704	1063280595588055042	2018-11-15 23:00:23	Citytv	¿Qué pasó en Colombia y #TuMundoHoy? Aquí los titulares de la emisión de este jueves 15 de noviembre de 2018. Véalo en diferido a las 11:30 p.m., por @Citytv. Conduce @claudiapalacios. https://t.co/By7UoOIsRg	  pasar colombia y   mundo   titular emisión jueves     noviembre        véalo diferir a        página metro        conducir     	0	1
724	1063612720552046592	2018-11-16 21:00:08	Citytv	Ya estamos #AlAire con #TuMundoHoy, las claves de la información nacional e internacional. Dirige y conduce @claudiapalacios, en @Citytv. https://t.co/NiexJPiFwy	  aire   mundo   clave información nacional e internacional   dirigir y conducir         	0	1
729	1063644855681908736	2018-11-16 23:07:49	Citytv	¿Qué pasó en Colombia y #TuMundoHoy? Aquí los titulares de la emisión de este viernes 16 de noviembre de 2018. Véalo en diferido a las 11:30 p.m., por @Citytv. Conduce @claudiapalacios. https://t.co/k5e16dQlen	  pasar colombia y   mundo   titular emisión viernes     noviembre        véalo diferir a        página metro        conducir     	0	1
748	1064701166385270784	2018-11-19 21:05:13	Citytv	Las claves de la información nacional e internacional están en #TuMundoHoy. Bienvenidos a una nueva emisión. Estamos #AlAire en @Citytv. Dirige y conduce @claudiapalacios. https://t.co/vvyTQcZbHJ	clave información nacional e internacional   mundo   bienvenido a emisión     aire     dirigir y conducir     	0	1
754	1064735691500912641	2018-11-19 23:22:25	Citytv	#AlAirer Aquí los titulares de la emisión de #TuMundoHoy para este lunes 19 de noviembre de 2018.  Dirige y conduce @claudiapalacios.  Véalo en diferido a las 11:20 p.m., en @Citytv. https://t.co/MD6Jxw9m4E	  airer titular emisión   mundo lunes     noviembre         dirigir y conducir      véalo diferir a        página metro        	0	1
779	1065096367570325504	2018-11-20 23:15:37	Citytv	#AlAire Aquí los titulares de la emisión de #TuMundoHoy para este martes 20 de noviembre de 2018. Conduce @mbechandia. Véalo en diferido a las 11:20 p.m., en @Citytv. https://t.co/IVtxzmvwTZ	  aire titular emisión   mundo martes     noviembre        conducir     véalo diferir a        página metro        	0	1
786	1065425509822148608	2018-11-21 21:03:30	Citytv	Ya estamos #AlAire con #TuMundoHoy, las claves de la información nacional e internacional. Dirige y conduce @claudiapalacios, en @Citytv. https://t.co/7m9yaq8Lxy	  aire   mundo   clave información nacional e internacional   dirigir y conducir         	0	1
792	1065461941257285632	2018-11-21 23:28:16	Citytv	Aquí los titulares de la emisión de #TuMundoHoy para este miércoles 21 de noviembre de 2018. Dirige y conduce @claudiapalacios.  Emisión en diferido #AlAire en @Citytv. (11:20 p.m.) https://t.co/k9a8p96BJn	titular emisión   mundo miércoles     noviembre        dirigir y conducir      emisión diferir   aire            página metro    	0	1
799	1065787065370116096	2018-11-22 21:00:12	Citytv	Ya estamos #AlAire con #TuMundoHoy, las claves de la información nacional e internacional. Dirige y conduce @claudiapalacios, en @Citytv. https://t.co/YHNGV21sfj	  aire   mundo   clave información nacional e internacional   dirigir y conducir         	0	1
810	1065819156291964928	2018-11-22 23:07:43	Citytv	¿Qué pasó en Colombia y #TuMundoHoy? Aquí los titulares de la emisión de este jueves 22 de noviembre de 2018. Dirige y conduce @claudiapalacios. Emisión en diferido a las 11:20 p.m., en @Citytv. https://t.co/TXz7tnEFzw	  pasar colombia y   mundo   titular emisión jueves     noviembre        dirigir y conducir     emisión diferir a        página metro        	0	1
825	1066149874150854657	2018-11-23 21:01:52	Citytv	Ya estamos #AlAire con #TuMundoHoy, las claves de la información nacional e internacional. Dirige y conduce @claudiapalacios, en @Citytv. https://t.co/Muf0XMQcIx	  aire   mundo   clave información nacional e internacional   dirigir y conducir         	0	1
832	1066179992961384448	2018-11-23 23:01:33	Citytv	Conozca #LasClaves de la información nacional e internacional con #TuMundoHOY. Aquí los titulares de la emisión de este viernes 23 de noviembre de 2018.  Dirige y conduce @claudiapalacios.  Véalo en diferido: 11:20 p.m., en @Citytv. https://t.co/FHZFcGw1NU	conocer   clave información nacional e internacional   mundohoy   titular emisión viernes     noviembre         dirigir y conducir      véalo diferir         página metro        	0	1
856	1067268226151841793	2018-11-26 23:05:48	Citytv	¿Qué pasó en Colombia y #TuMundoHoy? Aquí los titulares de la emisión de este lunes 26 de noviembre de 2018. Dirige y conduce @claudiapalacios. Emisión en diferido a las 11:30 p.m., en @Citytv. https://t.co/hK0XAqPWqU	  pasar colombia y   mundo   titular emisión lunes     noviembre        dirigir y conducir     emisión diferir a        página metro        	0	1
868	1067599003267809290	2018-11-27 21:00:12	Citytv	Ya estamos #AlAire con #TuMundoHoy, las claves de la información nacional e internacional. Dirige y conduce @claudiapalacios, en @Citytv. https://t.co/VMcbCX6MGj	  aire   mundo   clave información nacional e internacional   dirigir y conducir         	0	1
878	1067631524273639424	2018-11-27 23:09:25	Citytv	¿Qué pasó en Colombia y #TuMundoHoy? Aquí los titulares de la emisión de este martes 27 de noviembre de 2018. Dirige y conduce @claudiapalacios. Emisión en diferido a las 11:20 p.m., en @Citytv. https://t.co/Se5eqnBx00	  pasar colombia y   mundo   titular emisión martes     noviembre        dirigir y conducir     emisión diferir a        página metro        	0	1
921	1068323773890351106	2018-11-29 21:00:10	Citytv	Ya estamos #AlAire con #TuMundoHoy, las claves de la información nacional e internacional. Dirige y conduce @claudiapalacios, en @Citytv. https://t.co/Ywi0RHQEk8	  aire   mundo   clave información nacional e internacional   dirigir y conducir         	0	1
929	1068353510520119297	2018-11-29 22:58:20	Citytv	¿Qué pasó en Colombia y #TuMundoHoy? Aquí los titulares de la emisión de este jueves 29 de noviembre de 2018. Dirige y conduce @claudiapalacios. Vea la emisión en diferido a las 11:20 p.m., por @Citytv. https://t.co/UUSNq1T2s1	  pasar colombia y   mundo   titular emisión jueves     noviembre        dirigir y conducir     ver emisión diferir a        página metro        	0	1
944	1068686150427119621	2018-11-30 21:00:08	Citytv	Ya estamos #AlAire con #TuMundoHoy, las claves de la información nacional e internacional. Dirige y conduce @claudiapalacios, en @Citytv. https://t.co/wXjyFhf3F0	  aire   mundo   clave información nacional e internacional   dirigir y conducir         	0	1
951	1068714984824340480	2018-11-30 22:54:42	Citytv	¿Qué pasó en Colombia y #TuMundoHoy? Aquí los titulares de la emisión de este viernes 30 de noviembre de 2018. Dirige y conduce @claudiapalacios. Vea la emisión en diferido a las 11:20 p.m., por @Citytv. https://t.co/JThlX2vjoA	  pasar colombia y   mundo   titular emisión viernes     noviembre        dirigir y conducir     ver emisión diferir a        página metro        	0	1
984	1069773392050642946	2018-12-03 21:00:26	Citytv	¡Bienvenidos! Las claves de la información nacional e internacional las encuentra en #TuMundoHoy. Dirige y conduce: @claudiapalacios, en @Citytv https://t.co/JCqhjMJkM6	  bienvenido   clave información nacional e internacional   mundo   dirigir y conducir         	0	1
1008	1070135717899182080	2018-12-04 21:00:11	Citytv	¡Bienvenidos! Las claves de la información nacional e internacional las encuentra en #TuMundoHoy. Dirige y conduce: @claudiapalacios, en @Citytv. https://t.co/w49vFLy6Rx	  bienvenido   clave información nacional e internacional   mundo   dirigir y conducir          	0	1
1018	1070169490950942720	2018-12-04 23:14:24	Citytv	Estos son los temas en #TuMundoHoy para este martes 4 de diciembre de 2018.  Vea la emisión en diferido a las 11:20 p.m., en @Citytv.  Dirige y conduce @claudiapalacios. https://t.co/On3V72jGJZ	temer   mundo martes    diciembre         ver emisión diferir a        página metro         dirigir y conducir     	0	1
1030	1070498178372431873	2018-12-05 21:00:29	Citytv	¡Bienvenidos! Las claves de la información nacional e internacional las encuentra en #TuMundoHoy. Dirige y conduce: @claudiapalacios, en @Citytv. https://t.co/REOzZRPts0	  bienvenido   clave información nacional e internacional   mundo   dirigir y conducir          	0	1
1039	1070521201922064384	2018-12-05 22:31:58	Citytv	Aquí los temas de #TuMundoHoy para este miércoles 5 de diciembre de 2018.  Dirige y conduce @claudiapalacios. Vea la emisión en diferido a las 11:20 p.m., en @Citytv. https://t.co/HlKXY2bOth	temer   mundo miércoles    diciembre         dirigir y conducir     ver emisión diferir a        página metro        	0	1
1061	1070901933853106182	2018-12-06 23:44:52	Citytv	¿Qué pasó en Colombia y #TuMundoHoy? Aquí los titulares de la emisión de este jueves 6 de diciembre de 2018. Dirige y conduce @claudiapalacios. https://t.co/jwVhsgyrSs	  pasar colombia y   mundo   titular emisión jueves    diciembre        dirigir y conducir     	0	1
1082	1071250625806168064	2018-12-07 22:50:26	Citytv	¿Qué pasó en Colombia y #TuMundoHoy?  Aquí los temas de este viernes 7 de diciembre de 2018.  Vea la emisión en diferido a las 11:20 p.m., en @Citytv.  Dirige y conduce @claudiapalacios. https://t.co/hiAlw70hAA	  pasar colombia y   mundo    temer viernes    diciembre         ver emisión diferir a        página metro         dirigir y conducir     	0	1
1098	1072339172822839296	2018-12-10 22:55:56	Citytv	¿Qué pasó en Colombia y #TuMundoHoy? Aquí los temas de este lunes 10 de diciembre de 2018. Vea la emisión en diferido a las 11:20 p.m., en @Citytv. Dirige y conduce @claudiapalacios. https://t.co/CuCpQThSRx	  pasar colombia y   mundo   temer lunes     diciembre        ver emisión diferir a        página metro        dirigir y conducir     	0	1
1121	1072698800823828490	2018-12-11 22:44:58	Citytv	¿Qué pasó en Colombia y #TuMundoHoy? Aquí los temas de este martes 11 de diciembre de 2018. Vea la emisión en diferido a las 11:20 p.m., en @Citytv. Dirige y conduce @claudiapalacios. https://t.co/RZd7TRgooW	  pasar colombia y   mundo   temer martes     diciembre        ver emisión diferir a        página metro        dirigir y conducir     	0	1
1134	1073034816000532480	2018-12-12 21:00:10	Citytv	Ya estamos #AlAire con #TuMundoHoy, las claves de la información nacional e internacional. Dirige y conduce @claudiapalacios, en @Citytv. https://t.co/DlYVUmnLUl	  aire   mundo   clave información nacional e internacional   dirigir y conducir         	0	1
1167	1073427914824265728	2018-12-13 23:02:12	Citytv	¿Qué pasó en Colombia y #TuMundoHoy? Aquí los temas de este jueves 13 de diciembre de 2018. Vea la emisión en diferido a las 11:20 p.m., en @Citytv. Dirige y conduce @claudiapalacios. https://t.co/Z9NjE0NDIW	  pasar colombia y   mundo   temer jueves     diciembre        ver emisión diferir a        página metro        dirigir y conducir     	0	1
1182	1073759589475201025	2018-12-14 21:00:10	Citytv	Las claves de la información nacional e internacional están en #TuMundoHoy. Bienvenidos a una nueva emisión. Estamos #AlAire en @Citytv. Dirige y conduce: @claudiapalacios https://t.co/LUcCuLyAvj	clave información nacional e internacional   mundo   bienvenido a emisión     aire     dirigir y conducir     	0	1
1192	1073790930770116608	2018-12-14 23:04:42	Citytv	¿Qué pasó en Colombia y #TuMundoHoy? Aquí los temas de este viernes 14 de diciembre de 2018. Vea la emisión en diferido a las 11:20 p.m., en @Citytv. Dirige y conduce @claudiapalacios. https://t.co/DufWKegT4z	  pasar colombia y   mundo   temer viernes     diciembre        ver emisión diferir a        página metro        dirigir y conducir     	0	1
1209	1074846824337432576	2018-12-17 21:00:27	Citytv	Las claves de la información nacional e internacional están en #TuMundoHoy. Bienvenidos a una nueva emisión. Estamos #AlAire en @Citytv. Dirige y conduce: @claudiapalacios https://t.co/YObbAg8OLw	clave información nacional e internacional   mundo   bienvenido a emisión     aire     dirigir y conducir     	0	1
1216	1074874876136222721	2018-12-17 22:51:55	Citytv	Aquí los temas de #TuMundoHoy para este lunes 17 de diciembre de 2018.  Dirige y conduce @claudiapalacios, en @Citytv. Emisión en diferido a las 11:20 p.m. https://t.co/giDH3LrBHH	temer   mundo lunes     diciembre         dirigir y conducir         emisión diferir a        página metro   	0	1
1229	1075209199536230400	2018-12-18 21:00:24	Citytv	Ya estamos #AlAire con #TuMundoHoy, las claves de la información nacional e internacional. Dirige y conduce @claudiapalacios, en @Citytv. https://t.co/mc3abDdkqz	  aire   mundo   clave información nacional e internacional   dirigir y conducir         	0	1
1237	1075234071997894656	2018-12-18 22:39:14	Citytv	¿Qué pasó en Colombia y #TuMundoHoy?  Aquí los temas de la emisión de este martes 18 de diciembre de 2018.  Dirige y conduce @claudiapalacios, en @Citytv. Véalo en diferido a las 11:20 p.m. https://t.co/VW7hFAFqBi	  pasar colombia y   mundo    temer emisión martes     diciembre         dirigir y conducir         véalo diferir a        página metro   	0	1
1250	1075571530304765952	2018-12-19 21:00:10	Citytv	Las claves de la información nacional e internacional están en #TuMundoHoy. Bienvenidos a una nueva emisión. Estamos #AlAire en @Citytv. Dirige y conduce: @claudiapalacios https://t.co/l0NxgDIPBG	clave información nacional e internacional   mundo   bienvenido a emisión     aire     dirigir y conducir     	0	1
1261	1075599873020448775	2018-12-19 22:52:48	Citytv	Aquí los temas de la emisión de #TuMundoHoy para este miércoles 19 de diciembre de 2018. Dirige y conduce @claudiapalacios, en @Citytv. https://t.co/OfkmMgqWsc	temer emisión   mundo miércoles     diciembre        dirigir y conducir         	0	1
